HDF,datetime,CCGT,OTHER,OIL,COAL,NUCLEAR
FUELHH,2022-09-01 00:00:00,12833.0,184.0,0,880,4686
FUELHH,2022-09-01 00:30:00,12611.0,167.0,0,895,4698
FUELHH,2022-09-01 01:00:00,12417.0,148.0,0,823,4700
FUELHH,2022-09-01 01:15:00,,,0,824,4699
FUELHH,2022-09-01 01:18:00,12333.0,,0,819,4698
FUELHH,2022-09-01 01:30:00,12332.0,145.0,0,735,4698
FUELHH,2022-09-01 02:00:00,12178.0,141.0,0,619,4698
FUELHH,2022-09-01 02:30:00,12071.0,150.0,0,492,4690
FUELHH,2022-09-01 03:00:00,12156.0,170.0,0,503,4692
FUELHH,2022-09-01 03:30:00,12250.0,157.0,0,557,4696
FUELHH,2022-09-01 03:45:00,,,0,560,4689
FUELHH,2022-09-01 04:00:00,12352.0,144.0,0,761,4705
FUELHH,2022-09-01 04:30:00,12656.0,152.0,0,898,4710
FUELHH,2022-09-01 05:00:00,12700.0,157.0,0,849,4710
FUELHH,2022-09-01 05:15:00,,,0,847,4711
FUELHH,2022-09-01 05:30:00,13795.0,144.0,0,829,4715
FUELHH,2022-09-01 06:00:00,14874.0,146.0,0,897,4708
FUELHH,2022-09-01 06:30:00,15941.0,371.0,0,899,4711
FUELHH,2022-09-01 07:00:00,16490.0,590.0,0,900,4715
FUELHH,2022-09-01 07:30:00,16579.0,858.0,0,898,4711
FUELHH,2022-09-01 08:00:00,16676.0,796.0,0,899,4701
FUELHH,2022-09-01 08:30:00,16935.0,857.0,0,900,4702
FUELHH,2022-09-01 09:00:00,16848.0,628.0,0,901,4707
FUELHH,2022-09-01 09:30:00,16801.0,472.0,0,901,4711
FUELHH,2022-09-01 10:00:00,16913.0,337.0,0,900,4729
FUELHH,2022-09-01 10:30:00,16873.0,271.0,0,902,4730
FUELHH,2022-09-01 11:00:00,16880.0,267.0,0,895,4732
FUELHH,2022-09-01 11:30:00,16535.0,361.0,0,905,4728
FUELHH,2022-09-01 12:00:00,16538.0,378.0,0,899,4734
FUELHH,2022-09-01 12:30:00,16560.0,350.0,0,907,4731
FUELHH,2022-09-01 13:00:00,16782.0,243.0,0,900,4764
FUELHH,2022-09-01 13:30:00,16526.0,191.0,0,918,4775
FUELHH,2022-09-01 14:00:00,16270.0,192.0,0,918,4774
FUELHH,2022-09-01 14:30:00,16361.0,239.0,0,918,4776
FUELHH,2022-09-01 15:00:00,16445.0,345.0,0,918,4780
FUELHH,2022-09-01 15:30:00,16564.0,489.0,0,913,4799
FUELHH,2022-09-01 16:00:00,16931.0,735.0,0,872,4807
FUELHH,2022-09-01 16:30:00,17130.0,913.0,0,843,4806
FUELHH,2022-09-01 17:00:00,17377.0,1030.0,0,866,4814
FUELHH,2022-09-01 17:30:00,17312.0,1157.0,0,768,4806
FUELHH,2022-09-01 18:00:00,17295.0,1059.0,0,764,4808
FUELHH,2022-09-01 18:30:00,17301.0,1091.0,0,794,4801
FUELHH,2022-09-01 19:00:00,17465.0,1114.0,0,908,4806
FUELHH,2022-09-01 19:30:00,17354.0,1003.0,0,915,4801
FUELHH,2022-09-01 20:00:00,16806.0,1179.0,0,919,4805
FUELHH,2022-09-01 20:30:00,16561.0,978.0,0,920,4804
FUELHH,2022-09-01 21:00:00,16565.0,587.0,0,920,4806
FUELHH,2022-09-01 21:30:00,16394.0,496.0,0,920,4809
FUELHH,2022-09-01 22:00:00,16464.0,240.0,0,919,4814
FUELHH,2022-09-01 22:30:00,15887.0,157.0,0,753,4816
FUELHH,2022-09-01 23:00:00,16409.0,167.0,0,506,4821
FUELHH,2022-09-01 23:30:00,16407.0,150.0,0,398,4831
FUELHH,2022-09-02 00:00:00,16123.0,150.0,0,479,4828
FUELHH,2022-09-02 00:30:00,15944.0,173.0,0,459,4829
FUELHH,2022-09-02 01:00:00,15644.0,161.0,0,393,4844
FUELHH,2022-09-02 01:30:00,15765.0,157.0,0,238,4848
FUELHH,2022-09-02 02:00:00,15749.0,161.0,0,230,4854
FUELHH,2022-09-02 02:30:00,15713.0,145.0,0,229,4854
FUELHH,2022-09-02 03:00:00,15902.0,141.0,0,229,4863
FUELHH,2022-09-02 03:30:00,15923.0,152.0,0,229,4871
FUELHH,2022-09-02 04:00:00,15971.0,168.0,0,231,4878
FUELHH,2022-09-02 04:30:00,16075.0,168.0,0,231,4884
FUELHH,2022-09-02 05:00:00,15999.0,390.0,0,233,4897
FUELHH,2022-09-02 05:30:00,16055.0,448.0,0,367,4898
FUELHH,2022-09-02 06:00:00,16358.0,525.0,0,498,4904
FUELHH,2022-09-02 06:30:00,17050.0,672.0,0,497,4911
FUELHH,2022-09-02 07:00:00,17084.0,764.0,0,491,4907
FUELHH,2022-09-02 07:30:00,17457.0,1115.0,0,491,4907
FUELHH,2022-09-02 08:00:00,17280.0,954.0,0,489,4907
FUELHH,2022-09-02 08:30:00,17543.0,1000.0,0,489,4897
FUELHH,2022-09-02 09:00:00,17925.0,1055.0,0,494,4901
FUELHH,2022-09-02 09:30:00,17995.0,991.0,0,498,4901
FUELHH,2022-09-02 10:00:00,17845.0,518.0,0,493,4906
FUELHH,2022-09-02 10:30:00,17832.0,572.0,0,496,4910
FUELHH,2022-09-02 11:00:00,17489.0,676.0,0,499,4920
FUELHH,2022-09-02 11:30:00,17265.0,649.0,0,498,4922
FUELHH,2022-09-02 12:00:00,17317.0,651.0,0,501,4929
FUELHH,2022-09-02 12:30:00,17351.0,503.0,0,496,4920
FUELHH,2022-09-02 13:00:00,17106.0,527.0,0,495,4928
FUELHH,2022-09-02 13:30:00,16577.0,604.0,0,483,4931
FUELHH,2022-09-02 14:00:00,16639.0,379.0,0,488,4933
FUELHH,2022-09-02 14:30:00,16810.0,153.0,0,497,4930
FUELHH,2022-09-02 15:00:00,17088.0,154.0,0,484,4930
FUELHH,2022-09-02 15:30:00,17227.0,149.0,0,494,4934
FUELHH,2022-09-02 16:00:00,17300.0,265.0,0,494,4942
FUELHH,2022-09-02 16:30:00,17437.0,459.0,0,487,4951
FUELHH,2022-09-02 17:00:00,16772.0,648.0,0,460,4995
FUELHH,2022-09-02 17:30:00,16775.0,819.0,0,394,5016
FUELHH,2022-09-02 18:00:00,17424.0,1003.0,0,390,5027
FUELHH,2022-09-02 18:30:00,17077.0,934.0,0,397,5024
FUELHH,2022-09-02 19:00:00,17615.0,570.0,0,407,5023
FUELHH,2022-09-02 19:30:00,17422.0,545.0,0,483,5021
FUELHH,2022-09-02 20:00:00,17216.0,389.0,0,481,5019
FUELHH,2022-09-02 20:30:00,16689.0,224.0,0,411,5024
FUELHH,2022-09-02 21:00:00,16244.0,154.0,0,394,5027
FUELHH,2022-09-02 21:30:00,15187.0,150.0,0,342,5039
FUELHH,2022-09-02 22:00:00,14560.0,140.0,0,347,5046
FUELHH,2022-09-02 22:30:00,13536.0,182.0,0,462,5053
FUELHH,2022-09-02 23:00:00,10947.0,228.0,0,262,5096
FUELHH,2022-09-02 23:30:00,9450.0,213.0,0,281,5099
FUELHH,2022-09-03 00:00:00,8930.0,199.0,0,330,5103
FUELHH,2022-09-03 00:30:00,8935.0,228.0,0,234,5101
FUELHH,2022-09-03 01:00:00,8475.0,229.0,0,0,5094
FUELHH,2022-09-03 01:30:00,8120.0,229.0,0,0,5096
FUELHH,2022-09-03 02:00:00,7963.0,243.0,0,0,5106
FUELHH,2022-09-03 02:30:00,7877.0,258.0,0,0,5110
FUELHH,2022-09-03 03:00:00,8081.0,258.0,0,0,5115
FUELHH,2022-09-03 03:30:00,8142.0,363.0,0,0,5125
FUELHH,2022-09-03 04:00:00,8124.0,489.0,0,59,5201
FUELHH,2022-09-03 04:30:00,7860.0,543.0,0,206,5218
FUELHH,2022-09-03 05:00:00,8039.0,481.0,0,230,5219
FUELHH,2022-09-03 05:30:00,8300.0,473.0,0,343,5217
FUELHH,2022-09-03 06:00:00,8512.0,564.0,0,428,5229
FUELHH,2022-09-03 06:30:00,9175.0,716.0,0,336,5236
FUELHH,2022-09-03 07:00:00,9823.0,627.0,0,300,5245
FUELHH,2022-09-03 07:30:00,10049.0,773.0,0,299,5255
FUELHH,2022-09-03 08:00:00,9642.0,771.0,0,301,5255
FUELHH,2022-09-03 08:30:00,9945.0,782.0,0,300,5252
FUELHH,2022-09-03 09:00:00,9949.0,735.0,0,300,5250
FUELHH,2022-09-03 09:30:00,10155.0,777.0,0,299,5245
FUELHH,2022-09-03 10:00:00,10072.0,762.0,0,299,5247
FUELHH,2022-09-03 10:30:00,10204.0,452.0,0,299,5247
FUELHH,2022-09-03 11:00:00,9942.0,495.0,0,299,5255
FUELHH,2022-09-03 11:30:00,9861.0,387.0,0,300,5248
FUELHH,2022-09-03 12:00:00,9610.0,276.0,0,300,5259
FUELHH,2022-09-03 12:30:00,9489.0,315.0,0,300,5267
FUELHH,2022-09-03 13:00:00,9606.0,377.0,0,301,5270
FUELHH,2022-09-03 13:30:00,9605.0,381.0,0,299,5277
FUELHH,2022-09-03 14:00:00,9985.0,288.0,0,298,5279
FUELHH,2022-09-03 14:30:00,9617.0,278.0,0,253,5280
FUELHH,2022-09-03 15:00:00,10523.0,306.0,0,325,5290
FUELHH,2022-09-03 15:30:00,10745.0,307.0,0,445,5290
FUELHH,2022-09-03 16:00:00,11992.0,322.0,0,705,5296
FUELHH,2022-09-03 16:30:00,12567.0,332.0,0,777,5301
FUELHH,2022-09-03 17:00:00,13782.0,416.0,0,791,5300
FUELHH,2022-09-03 17:30:00,13954.0,437.0,0,793,5298
FUELHH,2022-09-03 18:00:00,13663.0,481.0,0,793,5316
FUELHH,2022-09-03 18:30:00,13635.0,361.0,0,794,5366
FUELHH,2022-09-03 19:00:00,13487.0,396.0,0,796,5372
FUELHH,2022-09-03 19:30:00,13691.0,421.0,0,796,5368
FUELHH,2022-09-03 20:00:00,13567.0,424.0,0,878,5351
FUELHH,2022-09-03 20:30:00,13582.0,349.0,0,926,5356
FUELHH,2022-09-03 21:00:00,13526.0,280.0,0,926,5353
FUELHH,2022-09-03 21:30:00,13130.0,297.0,0,928,5358
FUELHH,2022-09-03 22:00:00,12752.0,312.0,0,860,5258
FUELHH,2022-09-03 22:30:00,12481.0,239.0,0,690,5207
FUELHH,2022-09-03 23:00:00,12306.0,405.0,0,581,5208
FUELHH,2022-09-03 23:30:00,11996.0,459.0,0,607,5246
FUELHH,2022-09-04 00:00:00,10682.0,474.0,0,508,5289
FUELHH,2022-09-04 00:30:00,9948.0,437.0,0,631,5340
FUELHH,2022-09-04 01:00:00,9283.0,390.0,0,488,5352
FUELHH,2022-09-04 01:30:00,9133.0,195.0,0,495,5382
FUELHH,2022-09-04 02:00:00,9043.0,176.0,0,479,5384
FUELHH,2022-09-04 02:30:00,8758.0,197.0,0,586,5391
FUELHH,2022-09-04 03:00:00,8160.0,218.0,0,550,5390
FUELHH,2022-09-04 03:30:00,7713.0,157.0,0,458,5392
FUELHH,2022-09-04 04:00:00,7174.0,150.0,0,459,5387
FUELHH,2022-09-04 04:30:00,6998.0,148.0,0,460,5388
FUELHH,2022-09-04 05:00:00,7448.0,169.0,0,461,5384
FUELHH,2022-09-04 05:30:00,7436.0,153.0,0,603,5413
FUELHH,2022-09-04 06:00:00,8124.0,218.0,0,660,5430
FUELHH,2022-09-04 06:30:00,8369.0,180.0,0,659,5434
FUELHH,2022-09-04 07:00:00,8638.0,157.0,0,660,5439
FUELHH,2022-09-04 07:30:00,8830.0,298.0,0,660,5434
FUELHH,2022-09-04 08:00:00,8386.0,300.0,0,658,5435
FUELHH,2022-09-04 08:30:00,9162.0,240.0,0,746,5435
FUELHH,2022-09-04 09:00:00,8499.0,167.0,0,649,5439
FUELHH,2022-09-04 09:30:00,9609.0,160.0,0,430,5431
FUELHH,2022-09-04 10:00:00,10093.0,230.0,0,430,5416
FUELHH,2022-09-04 10:30:00,10247.0,535.0,0,430,5412
FUELHH,2022-09-04 11:00:00,10868.0,664.0,0,430,5424
FUELHH,2022-09-04 11:30:00,10935.0,597.0,0,429,5436
FUELHH,2022-09-04 12:00:00,10504.0,483.0,0,429,5437
FUELHH,2022-09-04 12:30:00,10794.0,416.0,0,427,5444
FUELHH,2022-09-04 13:00:00,10261.0,421.0,0,428,5446
FUELHH,2022-09-04 13:30:00,10143.0,388.0,0,430,5447
FUELHH,2022-09-04 14:00:00,10462.0,360.0,0,430,5452
FUELHH,2022-09-04 14:30:00,10307.0,298.0,0,430,5452
FUELHH,2022-09-04 15:00:00,11645.0,233.0,0,436,5457
FUELHH,2022-09-04 15:30:00,11762.0,235.0,0,602,5466
FUELHH,2022-09-04 16:00:00,13648.0,803.0,0,907,5464
FUELHH,2022-09-04 16:30:00,14051.0,859.0,0,977,5463
FUELHH,2022-09-04 17:00:00,14438.0,836.0,0,979,5464
FUELHH,2022-09-04 17:30:00,14691.0,835.0,0,976,5461
FUELHH,2022-09-04 18:00:00,14202.0,826.0,0,978,5468
FUELHH,2022-09-04 18:30:00,14001.0,796.0,0,976,5470
FUELHH,2022-09-04 19:00:00,13810.0,785.0,0,975,5472
FUELHH,2022-09-04 19:30:00,13547.0,798.0,0,909,5468
FUELHH,2022-09-04 20:00:00,13516.0,742.0,0,867,5475
FUELHH,2022-09-04 20:30:00,13239.0,552.0,0,805,5476
FUELHH,2022-09-04 21:00:00,12942.0,455.0,0,722,5474
FUELHH,2022-09-04 21:30:00,11818.0,413.0,0,361,5475
FUELHH,2022-09-04 22:00:00,11119.0,289.0,0,230,5470
FUELHH,2022-09-04 22:30:00,10250.0,223.0,0,211,5474
FUELHH,2022-09-04 23:00:00,9627.0,216.0,0,1,5474
FUELHH,2022-09-04 23:30:00,8787.0,219.0,0,0,5475
FUELHH,2022-09-05 00:00:00,8103.0,192.0,0,0,5474
FUELHH,2022-09-05 00:30:00,7724.0,170.0,0,0,5474
FUELHH,2022-09-05 01:00:00,7286.0,167.0,0,0,5480
FUELHH,2022-09-05 01:30:00,6774.0,158.0,0,0,5475
FUELHH,2022-09-05 02:00:00,6230.0,168.0,0,0,5471
FUELHH,2022-09-05 02:30:00,5895.0,146.0,0,0,5470
FUELHH,2022-09-05 03:00:00,5809.0,138.0,0,0,5467
FUELHH,2022-09-05 03:30:00,5794.0,147.0,0,0,5462
FUELHH,2022-09-05 04:00:00,6564.0,153.0,0,0,5474
FUELHH,2022-09-05 04:30:00,7671.0,146.0,0,2,5487
FUELHH,2022-09-05 05:00:00,8536.0,153.0,0,143,5479
FUELHH,2022-09-05 05:30:00,9317.0,179.0,0,267,5472
FUELHH,2022-09-05 06:00:00,10886.0,204.0,0,579,5462
FUELHH,2022-09-05 06:30:00,12508.0,348.0,0,766,5466
FUELHH,2022-09-05 07:00:00,13752.0,537.0,0,798,5471
FUELHH,2022-09-05 07:30:00,14412.0,662.0,0,799,5472
FUELHH,2022-09-05 08:00:00,14735.0,630.0,0,669,5473
FUELHH,2022-09-05 08:30:00,14752.0,579.0,0,780,5478
FUELHH,2022-09-05 09:00:00,14665.0,526.0,0,794,5474
FUELHH,2022-09-05 09:30:00,14589.0,504.0,0,760,5475
FUELHH,2022-09-05 10:00:00,14792.0,435.0,0,799,5468
FUELHH,2022-09-05 10:30:00,14941.0,399.0,0,798,5472
FUELHH,2022-09-05 11:00:00,14882.0,374.0,0,800,5462
FUELHH,2022-09-05 11:30:00,14932.0,301.0,0,799,5449
FUELHH,2022-09-05 12:00:00,15128.0,266.0,0,800,5451
FUELHH,2022-09-05 12:30:00,15194.0,378.0,0,800,5452
FUELHH,2022-09-05 13:00:00,15355.0,356.0,0,900,5454
FUELHH,2022-09-05 13:30:00,15181.0,310.0,0,937,5453
FUELHH,2022-09-05 14:00:00,15047.0,351.0,0,992,5456
FUELHH,2022-09-05 14:30:00,15041.0,394.0,0,1016,5451
FUELHH,2022-09-05 15:00:00,15655.0,527.0,0,1089,5455
FUELHH,2022-09-05 15:30:00,15952.0,572.0,0,1237,5458
FUELHH,2022-09-05 16:00:00,16127.0,778.0,0,1388,5452
FUELHH,2022-09-05 16:30:00,16234.0,1020.0,0,1469,5449
FUELHH,2022-09-05 17:00:00,16367.0,1027.0,0,1447,5468
FUELHH,2022-09-05 17:30:00,16517.0,1091.0,0,1447,5466
FUELHH,2022-09-05 18:00:00,16853.0,1081.0,0,1460,5463
FUELHH,2022-09-05 18:30:00,16694.0,1025.0,0,1424,5465
FUELHH,2022-09-05 19:00:00,16839.0,901.0,0,1455,5461
FUELHH,2022-09-05 19:30:00,16829.0,886.0,0,1438,5463
FUELHH,2022-09-05 20:00:00,16774.0,795.0,0,1308,5461
FUELHH,2022-09-05 20:30:00,16788.0,586.0,0,991,5463
FUELHH,2022-09-05 21:00:00,16844.0,339.0,0,980,5462
FUELHH,2022-09-05 21:30:00,16300.0,214.0,0,867,5467
FUELHH,2022-09-05 22:00:00,15087.0,174.0,0,721,5468
FUELHH,2022-09-05 22:30:00,13881.0,185.0,0,500,5471
FUELHH,2022-09-05 23:00:00,11533.0,180.0,0,500,5467
FUELHH,2022-09-05 23:30:00,10788.0,163.0,0,496,5470
FUELHH,2022-09-06 00:00:00,9575.0,166.0,0,494,5472
FUELHH,2022-09-06 00:30:00,8950.0,165.0,0,400,5470
FUELHH,2022-09-06 01:00:00,8820.0,179.0,0,245,5461
FUELHH,2022-09-06 01:30:00,9376.0,166.0,0,292,5467
FUELHH,2022-09-06 02:00:00,8857.0,164.0,0,336,5466
FUELHH,2022-09-06 02:30:00,9089.0,179.0,0,333,5462
FUELHH,2022-09-06 03:00:00,10399.0,165.0,0,428,5455
FUELHH,2022-09-06 03:30:00,10653.0,279.0,0,500,5448
FUELHH,2022-09-06 04:00:00,10940.0,417.0,0,500,5444
FUELHH,2022-09-06 04:30:00,11401.0,368.0,0,501,5445
FUELHH,2022-09-06 05:00:00,12405.0,256.0,0,640,5444
FUELHH,2022-09-06 05:30:00,13307.0,190.0,0,858,5450
FUELHH,2022-09-06 06:00:00,14495.0,329.0,0,1090,5448
FUELHH,2022-09-06 06:30:00,15568.0,344.0,0,1360,5450
FUELHH,2022-09-06 07:00:00,16214.0,605.0,0,1465,5447
FUELHH,2022-09-06 07:30:00,16639.0,945.0,0,1477,5453
FUELHH,2022-09-06 08:00:00,16423.0,779.0,0,1473,5454
FUELHH,2022-09-06 08:30:00,16446.0,760.0,0,1477,5454
FUELHH,2022-09-06 09:00:00,16366.0,585.0,0,1476,5462
FUELHH,2022-09-06 09:30:00,16302.0,487.0,0,1476,5461
FUELHH,2022-09-06 10:00:00,16005.0,193.0,0,1237,5449
FUELHH,2022-09-06 10:30:00,16304.0,117.0,0,1105,5446
FUELHH,2022-09-06 11:00:00,16051.0,118.0,0,864,5446
FUELHH,2022-09-06 11:30:00,16195.0,114.0,0,716,5445
FUELHH,2022-09-06 12:00:00,15665.0,115.0,0,755,5447
FUELHH,2022-09-06 12:30:00,15293.0,116.0,0,783,5440
FUELHH,2022-09-06 13:00:00,15509.0,115.0,0,725,5442
FUELHH,2022-09-06 13:30:00,15447.0,113.0,0,695,5444
FUELHH,2022-09-06 14:00:00,16154.0,119.0,0,706,5435
FUELHH,2022-09-06 14:30:00,15903.0,112.0,0,791,5439
FUELHH,2022-09-06 15:00:00,16534.0,123.0,0,967,5432
FUELHH,2022-09-06 15:30:00,17012.0,120.0,0,1026,5440
FUELHH,2022-09-06 16:00:00,17177.0,551.0,0,1116,5441
FUELHH,2022-09-06 16:30:00,17133.0,795.0,0,1235,5449
FUELHH,2022-09-06 17:00:00,16485.0,909.0,0,1413,5449
FUELHH,2022-09-06 17:30:00,16840.0,953.0,0,1340,5446
FUELHH,2022-09-06 18:00:00,16714.0,911.0,0,1190,5455
FUELHH,2022-09-06 18:30:00,16388.0,820.0,0,1040,5447
FUELHH,2022-09-06 19:00:00,17331.0,787.0,0,1115,5447
FUELHH,2022-09-06 19:30:00,17365.0,762.0,0,1324,5437
FUELHH,2022-09-06 20:00:00,17040.0,725.0,0,1293,5434
FUELHH,2022-09-06 20:30:00,16893.0,688.0,0,1101,5434
FUELHH,2022-09-06 21:00:00,16321.0,558.0,0,972,5439
FUELHH,2022-09-06 21:30:00,15536.0,399.0,0,979,5436
FUELHH,2022-09-06 22:00:00,15311.0,296.0,0,844,5445
FUELHH,2022-09-06 22:30:00,14638.0,177.0,0,523,5445
FUELHH,2022-09-06 23:00:00,13716.0,167.0,0,367,5445
FUELHH,2022-09-06 23:30:00,12833.0,164.0,0,300,5445
FUELHH,2022-09-07 00:00:00,13230.0,166.0,0,475,5453
FUELHH,2022-09-07 00:30:00,13255.0,171.0,0,495,5451
FUELHH,2022-09-07 01:00:00,12832.0,163.0,0,490,5456
FUELHH,2022-09-07 01:30:00,12463.0,177.0,0,480,5452
FUELHH,2022-09-07 02:00:00,11570.0,183.0,0,479,5453
FUELHH,2022-09-07 02:30:00,11513.0,209.0,0,484,5446
FUELHH,2022-09-07 03:00:00,11525.0,191.0,0,493,5451
FUELHH,2022-09-07 03:30:00,11052.0,170.0,0,485,5453
FUELHH,2022-09-07 04:00:00,10817.0,179.0,0,346,5436
FUELHH,2022-09-07 04:30:00,11270.0,177.0,0,389,5438
FUELHH,2022-09-07 05:00:00,11768.0,171.0,0,367,5440
FUELHH,2022-09-07 05:30:00,12637.0,180.0,0,338,5439
FUELHH,2022-09-07 06:00:00,14068.0,179.0,0,377,5438
FUELHH,2022-09-07 06:30:00,15388.0,309.0,0,400,5443
FUELHH,2022-09-07 07:00:00,16671.0,528.0,0,691,5443
FUELHH,2022-09-07 07:30:00,17467.0,672.0,0,908,5448
FUELHH,2022-09-07 08:00:00,17510.0,871.0,0,915,5453
FUELHH,2022-09-07 08:30:00,17246.0,878.0,0,918,5452
FUELHH,2022-09-07 09:00:00,17424.0,610.0,0,941,5449
FUELHH,2022-09-07 09:30:00,17293.0,663.0,0,941,5458
FUELHH,2022-09-07 10:00:00,17048.0,635.0,0,834,5446
FUELHH,2022-09-07 10:30:00,17165.0,296.0,0,745,5437
FUELHH,2022-09-07 11:00:00,16682.0,164.0,0,766,5449
FUELHH,2022-09-07 11:30:00,16686.0,172.0,0,574,5445
FUELHH,2022-09-07 12:00:00,17069.0,178.0,0,591,5441
FUELHH,2022-09-07 12:30:00,16890.0,180.0,0,624,5436
FUELHH,2022-09-07 13:00:00,16960.0,298.0,0,653,5438
FUELHH,2022-09-07 13:30:00,16907.0,300.0,0,566,5440
FUELHH,2022-09-07 14:00:00,17403.0,175.0,0,471,5432
FUELHH,2022-09-07 14:30:00,17252.0,274.0,0,571,5431
FUELHH,2022-09-07 15:00:00,17145.0,251.0,0,686,5434
FUELHH,2022-09-07 15:30:00,17526.0,350.0,0,812,5430
FUELHH,2022-09-07 16:00:00,17894.0,465.0,0,1121,5438
FUELHH,2022-09-07 16:30:00,17978.0,622.0,0,1148,5426
FUELHH,2022-09-07 17:00:00,17934.0,661.0,0,984,5439
FUELHH,2022-09-07 17:30:00,17885.0,807.0,0,1048,5438
FUELHH,2022-09-07 18:00:00,17957.0,828.0,0,1072,5435
FUELHH,2022-09-07 18:30:00,18274.0,837.0,0,1192,5438
FUELHH,2022-09-07 19:00:00,18234.0,1045.0,0,1017,5443
FUELHH,2022-09-07 19:30:00,18190.0,1041.0,0,1032,5431
FUELHH,2022-09-07 20:00:00,18714.0,1061.0,0,1011,5438
FUELHH,2022-09-07 20:30:00,18650.0,913.0,0,1023,5432
FUELHH,2022-09-07 21:00:00,18516.0,786.0,0,1055,5423
FUELHH,2022-09-07 21:30:00,18342.0,626.0,0,990,5422
FUELHH,2022-09-07 22:00:00,17795.0,489.0,0,871,5425
FUELHH,2022-09-07 22:30:00,17102.0,306.0,0,549,5430
FUELHH,2022-09-07 23:00:00,16196.0,274.0,0,254,5433
FUELHH,2022-09-07 23:30:00,16056.0,285.0,0,243,5426
FUELHH,2022-09-08 00:00:00,16433.0,289.0,0,269,5431
FUELHH,2022-09-08 00:30:00,16462.0,295.0,0,425,5437
FUELHH,2022-09-08 01:00:00,16050.0,312.0,0,452,5458
FUELHH,2022-09-08 01:30:00,15732.0,270.0,0,450,5453
FUELHH,2022-09-08 02:00:00,15632.0,275.0,0,450,5441
FUELHH,2022-09-08 02:30:00,15428.0,299.0,0,324,5446
FUELHH,2022-09-08 03:00:00,15016.0,269.0,0,235,5438
FUELHH,2022-09-08 03:30:00,15143.0,284.0,0,248,5438
FUELHH,2022-09-08 04:00:00,15297.0,271.0,0,259,5443
FUELHH,2022-09-08 04:30:00,15168.0,273.0,0,276,5441
FUELHH,2022-09-08 05:00:00,15806.0,267.0,0,282,5437
FUELHH,2022-09-08 05:30:00,16142.0,266.0,0,348,5440
FUELHH,2022-09-08 06:00:00,16987.0,289.0,0,615,5436
FUELHH,2022-09-08 06:30:00,17680.0,274.0,0,847,5439
FUELHH,2022-09-08 07:00:00,18208.0,322.0,0,1070,5439
FUELHH,2022-09-08 07:30:00,18413.0,709.0,0,1284,5436
FUELHH,2022-09-08 08:00:00,18277.0,718.0,0,1257,5444
FUELHH,2022-09-08 08:30:00,18232.0,729.0,0,1154,5447
FUELHH,2022-09-08 09:00:00,17893.0,596.0,0,1090,5439
FUELHH,2022-09-08 09:30:00,17800.0,448.0,0,1090,5446
FUELHH,2022-09-08 10:00:00,17921.0,377.0,0,1094,5421
FUELHH,2022-09-08 10:30:00,17759.0,341.0,0,1099,5415
FUELHH,2022-09-08 11:00:00,17182.0,342.0,0,1074,5422
FUELHH,2022-09-08 11:30:00,17183.0,419.0,0,1123,5424
FUELHH,2022-09-08 12:00:00,16439.0,269.0,0,956,5419
FUELHH,2022-09-08 12:30:00,16171.0,225.0,0,931,5421
FUELHH,2022-09-08 13:00:00,16538.0,183.0,0,935,5417
FUELHH,2022-09-08 13:30:00,16508.0,173.0,0,933,5411
FUELHH,2022-09-08 14:00:00,17076.0,195.0,0,926,5419
FUELHH,2022-09-08 14:30:00,16637.0,175.0,0,998,5417
FUELHH,2022-09-08 15:00:00,16938.0,172.0,0,1083,5413
FUELHH,2022-09-08 15:30:00,17282.0,174.0,0,1126,5412
FUELHH,2022-09-08 16:00:00,17077.0,563.0,0,1253,5417
FUELHH,2022-09-08 16:30:00,16961.0,609.0,0,1335,5416
FUELHH,2022-09-08 17:00:00,17495.0,782.0,0,1377,5413
FUELHH,2022-09-08 17:30:00,17695.0,855.0,0,1378,5423
FUELHH,2022-09-08 18:00:00,17361.0,885.0,0,1377,5423
FUELHH,2022-09-08 18:30:00,17009.0,875.0,0,1374,5422
FUELHH,2022-09-08 19:00:00,17694.0,777.0,0,1379,5413
FUELHH,2022-09-08 19:30:00,18019.0,999.0,0,1366,5415
FUELHH,2022-09-08 20:00:00,18082.0,1119.0,0,1432,5409
FUELHH,2022-09-08 20:30:00,17744.0,913.0,0,1468,5415
FUELHH,2022-09-08 21:00:00,17615.0,762.0,0,1471,5409
FUELHH,2022-09-08 21:30:00,17287.0,599.0,0,1376,5403
FUELHH,2022-09-08 22:00:00,16581.0,451.0,0,1211,5405
FUELHH,2022-09-08 22:30:00,15575.0,315.0,0,1209,5402
FUELHH,2022-09-08 23:00:00,14185.0,412.0,0,1240,5406
FUELHH,2022-09-08 23:30:00,13558.0,339.0,0,1235,5408
FUELHH,2022-09-09 00:00:00,13325.0,314.0,0,1153,5409
FUELHH,2022-09-09 00:30:00,12920.0,318.0,0,978,5412
FUELHH,2022-09-09 01:00:00,11567.0,328.0,0,979,5412
FUELHH,2022-09-09 01:30:00,11456.0,317.0,0,975,5419
FUELHH,2022-09-09 02:00:00,11091.0,323.0,0,979,5424
FUELHH,2022-09-09 02:30:00,10915.0,317.0,0,976,5423
FUELHH,2022-09-09 03:00:00,11545.0,317.0,0,974,5422
FUELHH,2022-09-09 03:30:00,11508.0,320.0,0,976,5426
FUELHH,2022-09-09 04:00:00,11941.0,321.0,0,977,5418
